cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
FIN,-7.33709874882351,-23.7217758849569,-16.3846771361334,5.77824836246714,-13.7388413440676,-12.3943416860684,1.34449965799922,5.4679633624789,13.4760946693061,-40.4795993063044,-53.9556939756105,5.19660720266318,-5.87553028144106,-18.7221420897207,-12.8466118082796,5.31089179393443
SVK,14.8316277163557,-0.74942437063828,-15.581052086994,8.49301751404835,0.6236262494279,5.10081109945526,4.47718485002736,8.54580622572067,33.8352983398749,-23.3401342647108,-57.1754326045857,9.03774017002184,11.1720109081925,-2.84791340982281,-14.0199243180153,8.70958110505349
DNK,-18.5482306382137,-34.0177977965317,-15.4695671583179,7.36517272287687,-22.0377836076323,-20.4208334473155,1.61695016031678,6.78968665029597,-18.2966049388012,-46.736970234782,-28.4403652959808,6.92325186338465,-29.8932461246488,-28.9672678459431,0.925978278705657,7.1418112046147
COL,-2.74514080252931,-15.6708422657651,-12.9257014632358,10.1622737277057,-5.93708997808795,-11.7057450466636,-5.76865506857564,10.6066794953483,3.46581644734988,-28.1988530174652,-31.6646694648151,9.66058064698386,-0.896524624874814,-22.0962038927501,-21.1996792678753,9.35828414667876
NOR,-17.3488570394622,-28.2516912469479,-10.9028342074857,7.29972784463245,-22.4581149249946,-16.906600014717,5.55151491027755,7.19922106019894,-1.56732813047273,-41.0515140015391,-39.4841858710664,7.25810345719049,-15.7758658780757,-19.5587578798684,-3.78289200179279,7.26488792202343
MEX,-1.94325562729659,-12.1962201910609,-10.2529645637643,7.53776370853269,-5.60920810569212,-9.21307193435956,-3.60386382866744,7.90601403100014,7.379898320613,-24.8138281412527,-32.1937264618657,7.85517733286792,-1.2784387129189,-17.172703156393,-15.8942644434741,7.64442720325932
GRC,-11.4931369954869,-21.3342813548602,-9.84114435937335,7.43018581132115,-16.8565188257706,-13.6379476418195,3.2185711839511,7.99842542854451,0.0653959826254322,-37.9196738124668,-37.9850697950922,6.36715710540374,-11.7442672684967,-18.8693639684594,-7.12509669996268,6.58598417361395
NLD,-12.7107894842087,-22.074198184168,-9.36340869995928,8.97430937079676,-12.1087382216959,-15.239626723717,-3.13088850202115,9.06315255581849,6.1581503011609,-47.5227924629722,-53.6809427641331,8.87246540350803,11.5569540415214,-27.292811510584,-38.8497655521055,9.21276733474987
PRT,-9.19904508883252,-18.2102260990932,-9.01118101026066,6.94204601425279,-12.5083976050242,-12.5374128044035,-0.0290151993792733,6.6772503436093,-1.52331624287802,-29.3493390942721,-27.826022851394,8.1209876157187,-9.87152158518649,-17.7687296405131,-7.89720805532664,7.04770189581426
JPN,-6.88706004319238,-15.286769331461,-8.39970928826858,9.15999147786503,-15.7839404032381,-3.27561224964029,12.5083281535979,9.27388790217345,10.6740816713618,-38.1119335867956,-48.7860152581574,7.77357801635425,-10.9973146160212,-13.3650917454976,-2.36777712947639,8.25124931885486
IRL,-10.0383200957491,-15.0630720020698,-5.02475190632072,5.6067029956744,-14.7472181579881,-10.0416969465462,4.70552121144198,5.05118956863103,-5.14257841459795,-27.556331790077,-22.4137533754791,6.03174305964362,-19.5437949781705,-14.5641538384569,4.97964113971352,6.15190965251224
CHL,-1.58010862606386,-6.02464558391318,-4.44453695784932,7.95057359147081,-8.78233396582436,-0.398772670228141,8.38356129559622,8.11725405863587,0.719051423480153,-17.687251132338,-18.4063025558182,6.99297825619182,-12.5574684076634,1.15002102044156,13.707489428105,6.76114095853542
EST,-12.9312943155771,-17.3148995427827,-4.38360522720558,6.36374216770306,-18.996187532627,-10.9177814790548,8.07840605357217,6.35010543467784,4.99441418779605,-26.2359659129775,-31.2303801007736,5.95609538236395,-14.6258621233634,-11.8142006391712,2.8116614841922,5.99010658172883
ITA,-4.1885253071444,-4.76032183279983,-0.571796525655429,7.1549469203194,-10.9634358202446,-0.571715930725645,10.3917198895189,7.01001710066331,-0.0650395437950806,-18.1893190132623,-18.1242794694672,6.99297240103141,-15.7437697924215,-3.45598824859104,12.2877815438305,6.93473483418711
DEU,-13.7527392300473,-11.4392904665982,2.31344876344912,8.23691760579488,-15.9548618161784,-2.71143687871995,13.2434249374585,8.36516062465332,-1.18058634575476,-26.243772051814,-25.0631857060592,8.66835772307794,-18.5020764214653,-6.07012297299707,12.4319534484682,8.56061670198712
TUR,16.5940815886284,19.8209728379584,3.22689124932998,6.49170068163059,11.0869155309327,23.2652959743879,12.1783804434552,6.37426977763183,30.7872883939227,-2.4070942389381,-33.1943826328608,6.72593671617357,17.3764549343186,13.5988838751497,-3.77757105916891,7.11691052011708
USA,-9.81016871867638,-5.33904290097166,4.47112581770472,17.7274525361119,-17.9639900749681,4.77788350604226,22.7418735810104,17.7445712055645,-11.0479617786121,-25.4810118563624,-14.4330500777504,15.1994734468767,-17.6911763880986,-5.05910544072913,12.6320709473695,16.243323258285
