index,cnt,n_systems,Q1_2022,Q1_2025,Q1_change,Q1_se,Q2_2022,Q2_2025,Q2_change,Q2_se,Q3_2022,Q3_2025,Q3_change,Q3_se,Q4_2022,Q4_2025,Q4_change,Q4_se,Q2-Q1_2022,Q2-Q1_2025,Q2-Q1_change,Q2-Q1_se,Q3-Q1_2022,Q3-Q1_2025,Q3-Q1_change,Q3-Q1_se,Q4-Q1_2022,Q4-Q1_2025,Q4-Q1_change,Q4-Q1_se,Q3-Q2_2022,Q3-Q2_2025,Q3-Q2_change,Q3-Q2_se,Q4-Q2_2022,Q4-Q2_2025,Q4-Q2_change,Q4-Q2_se,Q4-Q3_2022,Q4-Q3_2025,Q4-Q3_change,Q4-Q3_se,domain,calibration
escs,OECD35,35,433.765035962165,430.316138813689,-3.44889714847682,1.42691551457202,464.688200492087,457.474165379625,-7.21403511246172,1.44298931098195,492.272735422278,484.435273698287,-7.83746172399145,1.4834983938336,527.165850905648,506.851847846374,-20.3140030592743,1.53153633519471,30.9231645299211,27.1580265659362,-3.7651379639849,1.07615103301988,58.5076994601126,54.119134884598,-4.38856457551464,1.17209486745243,93.4008149434827,76.5357090326851,-16.8651059107975,1.33530378853229,27.5845349301915,26.9611083186618,-0.623426611529737,1.09968457481265,62.4776504135616,49.3776824667489,-13.0999679468126,1.24467160104934,34.89311548337,22.4165741480871,-12.4765413352829,1.14633560974519,read,authors_original
escs,OECD34_without_NLD,34,434.334736801742,431.158248251375,-3.17648855036708,1.42871159484876,465.454862421439,458.309343530736,-7.14551889070299,1.44483116535083,492.545310690043,484.958797661192,-7.58651302885193,1.48993624594035,527.447240236185,507.18500762176,-20.2622326144244,1.54334677428943,31.120125619697,27.1510952793611,-3.96903034033591,1.08589229655188,58.2105738883018,53.8005494098169,-4.41002447848484,1.17914863619705,93.1125034344429,76.0267593703856,-17.0857440640573,1.34899716876723,27.0904482686048,26.6494541304558,-0.440994138148938,1.11013734235291,61.9923778147459,48.8756640910245,-13.1167137237214,1.25734700429805,34.9019295461412,22.2262099605687,-12.6757195855725,1.16279580500943,read,authors_original
escs_h,OECD35,35,438.066590449007,428.617378569205,-9.44921187980219,1.43201543046494,466.057506638338,457.629913966125,-8.42759267221339,1.43309211677114,493.80303832061,484.338026847942,-9.46501147266878,1.48036402807406,521.096635151838,509.679349539915,-11.4172856119228,1.52944805499283,27.9909161893311,29.0125353969199,1.0216192075888,1.08233501445817,55.7364478716032,55.7206482787366,-0.0157995928665855,1.16955086900557,83.0300447028309,81.0619709707103,-1.96807373212062,1.33668177510672,27.7455316822721,26.7081128818168,-1.03741880045538,1.08313751621145,55.0391285134999,52.0494355737905,-2.98969293970941,1.22338291008487,27.2935968312277,25.3413226919737,-1.95227413925403,1.15499324837883,read,authors_original
escs_h,OECD34_without_NLD,34,438.608273534152,429.237283017347,-9.37099051680531,1.43357135549115,466.870250589864,458.423439989399,-8.44681060046514,1.43337503373052,494.004411559967,484.752131836935,-9.25227972303247,1.48165186341438,521.457490940982,510.152627126465,-11.304863814517,1.5409675928312,28.2619770557119,29.1861569720521,0.924179916340165,1.08790564344919,55.3961380258149,55.5148488195878,0.118710793772834,1.16715881851871,82.84921740683,80.9153441091182,-1.93387329771173,1.34992919890929,27.134160970103,26.3286918475357,-0.805469122567331,1.08698839261829,54.5872403511181,51.7291871370662,-2.85805321405189,1.23329715976306,27.453079381015,25.4004952895305,-2.05258409148456,1.1582689865063,read,authors_original
homepos,OECD35,35,427.677577709674,433.541581467423,5.86400375774872,1.48853022888633,470.885747117108,465.313085703821,-5.57266141328751,1.45520193849969,497.554692969473,479.04166699323,-18.5130259762425,1.45454587868769,517.249738961284,481.970274977542,-35.2794639837416,1.50258127470371,43.2081694074342,31.771504236398,-11.4366651710362,1.11660551243502,69.8771152597986,45.5000855258074,-24.3770297339912,1.19161769052996,89.5721612516098,48.4286935101195,-41.1434677414903,1.30652534168345,26.6689458523643,13.7285812894094,-12.940364562955,1.11186879401202,46.3639918441756,16.6571892737215,-29.7068025704541,1.17727614497546,19.6950459918112,2.92860798431212,-16.7664380074991,1.13648955983779,read,authors_original
homepos,OECD34_without_NLD,34,428.496385530674,434.351737919498,5.85535238882483,1.49357127526521,471.428885271843,465.891929211228,-5.53695606061484,1.4556465878315,497.864389693349,479.597131593627,-18.2672580997221,1.46220249216095,517.559342608898,482.639976521604,-34.9193660872936,1.51057738544275,42.9324997411695,31.5401912917299,-11.3923084494397,1.12785188337051,69.3680041626756,45.2453936741286,-24.122610488547,1.20390275754922,89.0629570782243,48.2882386021059,-40.7747184761184,1.31939377775115,26.435504421506,13.7052023823987,-12.7303020391073,1.12140562953738,46.1304573370548,16.748047310376,-29.3824100266788,1.183491439125,19.6949529155488,3.04284492797729,-16.6521079875715,1.14908148667379,read,authors_original
homepos_h,OECD35,35,439.04642644002,429.377575666209,-9.66885077381153,1.48406959710647,477.036490502061,464.294600585192,-12.7418899168693,1.45238282315224,495.169099467397,480.307406583427,-14.8616928839699,1.45212061423813,504.341841189474,488.359622687103,-15.9822185023704,1.4967625141637,37.9900640620409,34.9170249189831,-3.07303914305777,1.11027791051974,56.1226730273767,50.9298309172184,-5.19284211015832,1.18924578012369,65.2954147494536,58.9820470208947,-6.31336772855889,1.3160533792966,18.1326089653358,16.0128059982353,-2.11980296710055,1.06885118263781,27.3053506874127,24.0650221019116,-3.24032858550112,1.1526895640313,9.17274172207686,8.0522161036763,-1.12052561840056,1.14803801298115,read,authors_original
homepos_h,OECD34_without_NLD,34,439.971001507394,429.677862356661,-10.2931391507332,1.48427624005884,477.335973582768,464.66832174488,-12.6676518378881,1.46025937822025,495.428416111314,480.855079281494,-14.5733368298203,1.46010485136081,504.867624985719,489.218070983591,-15.6495540021288,1.50405015496445,37.3649720753742,34.9904593882193,-2.37451268715495,1.12334241728381,55.4574146039202,51.177216924833,-4.28019767908717,1.19995126468731,64.8966234783256,59.5402086269299,-5.35641485139564,1.32738674083161,18.0924425285459,16.1867575366137,-1.90568499193222,1.08367424559261,27.5316514029514,24.5497492387107,-2.98190216424069,1.1677494501883,9.43920887440544,8.36299170209696,-1.07621717230847,1.16239621365986,read,authors_original
escs_h_min3,OECD35,35,437.384373481381,428.228764790836,-9.15560869054491,1.43013404653966,465.902175662566,457.295473689048,-8.60670197351789,1.44272783365401,493.608739250878,483.983996355271,-9.62474289560674,1.47890465923114,521.039752731995,509.594862320122,-11.4448904118731,1.53642278615729,28.517802181185,29.066708898212,0.548906717027023,1.08969743748559,56.2243657694971,55.7552315644352,-0.469134205061835,1.16906097648822,83.6553792506144,81.3660975292862,-2.28928172132822,1.34534062870465,27.7065635883121,26.6885226662232,-1.01804092208886,1.08797855152224,55.1375770694294,52.2993886310742,-2.83818843835525,1.23624702603391,27.4310134811174,25.610865964851,-1.82014751626639,1.16362634891168,read,authors_original
escs_h_min3,OECD34_without_NLD,34,437.953533078718,429.036758489886,-8.91677458883225,1.4317499425277,466.66453566799,458.077186452852,-8.58734921513724,1.44425096936942,493.809231313422,484.489362687623,-9.31986862579868,1.48030780675336,521.401878718302,510.034314383378,-11.3675643349238,1.54875814372286,28.7110025892715,29.0404279629665,0.329425373695017,1.09877082891381,55.855698234704,55.4526041977376,-0.403094036966422,1.17121252382013,83.4483456395842,80.9975558934926,-2.45078974609157,1.35926294673113,27.1446956454325,26.4121762347711,-0.732519410661439,1.09038211724551,54.7373430503127,51.9571279305261,-2.78021511978659,1.24716744848703,27.5926474048802,25.544951695755,-2.04769570912515,1.1693971986958,read,authors_original
