rule,cnt,gap_2022,gap_2025,change,se
Education: tertiary vs 12 years or fewer,POL,53.4681606347797,58.4197040589299,4.95154342415026,4.86068359308766
Education: tertiary vs 12 years or fewer,PRT,46.7985340136845,57.980491512509,11.1819574988245,4.66797452995918
Education: tertiary vs 12 years or fewer,SVK,43.5082157418715,63.2578284316234,19.7496126897519,6.15260367363126
Education: tertiary vs 12 years or fewer,SVN,41.9903006893455,50.1938098930209,8.20350920367531,4.18358044352495
Education: tertiary vs 12 years or fewer,SWE,40.1737519971911,60.6706929097072,20.4969409125161,4.9105462451816
Education: tertiary vs 12 years or fewer,TUR,38.2954556147631,74.0472301193865,35.7517745046235,5.54122802692132
Education: tertiary vs 12 years or fewer,USA,44.7269957781144,46.5579307395315,1.83093496141714,11.9331585083432
Books: more than 100 vs 25 or fewer,AUS,77.1184773987155,70.7612300077658,-6.35724739094974,3.88210245854336
Books: more than 100 vs 25 or fewer,AUT,96.7459357319329,88.1096974810369,-8.63623825089604,4.81807941785753
Books: more than 100 vs 25 or fewer,BEL,87.6352057475828,88.7384003665675,1.10319461898467,5.65058178251622
Books: more than 100 vs 25 or fewer,CAN,63.1294515260688,59.7182569771992,-3.41119454886962,3.76395288160292
Books: more than 100 vs 25 or fewer,CHE,97.8132756941717,94.2160608680585,-3.59721482611315,5.4677977133977
Books: more than 100 vs 25 or fewer,CHL,58.4827717799567,55.0221025022757,-3.46066927768101,5.77292349854202
Books: more than 100 vs 25 or fewer,COL,59.2124764096409,49.5014221891536,-9.71105422048731,8.68831066653502
Books: more than 100 vs 25 or fewer,CZE,95.5601043951804,93.2864341568724,-2.27367023830794,5.53248978072998
Books: more than 100 vs 25 or fewer,DEU,102.975633571917,103.231176228803,0.255542656886064,5.44081412760224
Books: more than 100 vs 25 or fewer,DNK,66.1076777609415,62.9119613258597,-3.19571643508181,5.00984921421575
Books: more than 100 vs 25 or fewer,ESP,79.1735102643625,69.6124561998951,-9.56105406446738,3.18774415076521
Books: more than 100 vs 25 or fewer,EST,74.2888837002587,72.2200857700896,-2.06879793016907,5.06019537056086
Books: more than 100 vs 25 or fewer,FIN,71.475873860128,64.7220633802282,-6.75381047989981,4.24771978154939
Books: more than 100 vs 25 or fewer,FRA,99.1363078871991,88.8882419014797,-10.2480659857195,5.25620690833289
Books: more than 100 vs 25 or fewer,GBR,85.7147511822786,86.8296570143636,1.11490583208501,5.46797436404718
Books: more than 100 vs 25 or fewer,GRC,61.6673343443929,70.564282152857,8.89694780846406,5.28054665332154
Books: more than 100 vs 25 or fewer,HUN,108.057846318921,94.2655241423254,-13.7923221765952,6.14688250516949
Books: more than 100 vs 25 or fewer,IRL,71.8748958847221,72.6221993753704,0.747303490648335,4.33425182730502
Books: more than 100 vs 25 or fewer,ISL,67.5007385892619,72.9222206515366,5.42148206227472,5.53669420502146
Books: more than 100 vs 25 or fewer,ISR,91.2423723026388,77.1308099935352,-14.1115623091036,7.10296657080424
Books: more than 100 vs 25 or fewer,ITA,72.8167091124631,78.4863639591934,5.66965484673028,5.71116553600732
Books: more than 100 vs 25 or fewer,JPN,57.6503804512647,68.2202582663184,10.5698778150537,6.68548244837174
