cnt,wave,group,pct
ESP,2022,Valid ESCS,95.8498811127071
ESP,2025,Parents with tertiary education (16 years),54.3734025126803
ESP,2025,Parents with 12 years or fewer,34.058841446429
ESP,2025,HISEI >= 60,46.9137672634283
ESP,2025,HISEI < 35,31.6605592032762
ESP,2025,More than 100 books,31.6856208390908
ESP,2025,25 books or fewer,36.882741865011
ESP,2025,No valid ESCS,4.33873720144024
ESP,2025,Valid ESCS,95.6612627985598
EST,2022,Parents with tertiary education (16 years),54.2395145947269
EST,2022,Parents with 12 years or fewer,26.3856219466738
EST,2022,HISEI >= 60,47.9361130732395
EST,2022,HISEI < 35,29.1483044583726
EST,2022,More than 100 books,37.6594524356687
EST,2022,25 books or fewer,29.6114199953516
EST,2022,No valid ESCS,1.57972684463463
EST,2022,Valid ESCS,98.4202731553654
EST,2025,Parents with tertiary education (16 years),57.1478740447303
EST,2025,Parents with 12 years or fewer,28.4929099091185
EST,2025,HISEI >= 60,54.2217317592623
EST,2025,HISEI < 35,23.8311910647597
EST,2025,More than 100 books,37.1821788266853
EST,2025,25 books or fewer,30.5283085016694
EST,2025,No valid ESCS,1.66289983118633
EST,2025,Valid ESCS,98.3371001688137
FIN,2022,Parents with tertiary education (16 years),70.3579267195604
FIN,2022,Parents with 12 years or fewer,24.3128657515348
FIN,2022,HISEI >= 60,46.9589438152007
FIN,2022,HISEI < 35,29.2934024909003
FIN,2022,More than 100 books,37.791932585863
FIN,2022,25 books or fewer,27.236544834882
FIN,2022,No valid ESCS,2.50599253220041
FIN,2022,Valid ESCS,97.4940074677996
FIN,2025,Parents with tertiary education (16 years),62.926114696617
FIN,2025,Parents with 12 years or fewer,34.0041223177953
FIN,2025,HISEI >= 60,49.8518519405868
FIN,2025,HISEI < 35,26.1186784884976
FIN,2025,More than 100 books,35.8362122387318
FIN,2025,25 books or fewer,28.154841253876
FIN,2025,No valid ESCS,5.2978877720431
FIN,2025,Valid ESCS,94.7021122279569
FRA,2022,Parents with tertiary education (16 years),57.5294076331592
FRA,2022,Parents with 12 years or fewer,27.2458164709484
FRA,2022,HISEI >= 60,42.9390290737106
FRA,2022,HISEI < 35,30.7364951023971
FRA,2022,More than 100 books,38.8773612459932
FRA,2022,25 books or fewer,35.4389863638217
FRA,2022,No valid ESCS,2.65401472772294
FRA,2022,Valid ESCS,97.3459852722771
FRA,2025,Parents with tertiary education (16 years),44.5551778212265
FRA,2025,Parents with 12 years or fewer,41.239955542914
FRA,2025,HISEI >= 60,44.2035480124301
FRA,2025,HISEI < 35,26.5163293453752
FRA,2025,More than 100 books,39.9289920121345
FRA,2025,25 books or fewer,34.2561131229305
FRA,2025,No valid ESCS,8.63676578542964
FRA,2025,Valid ESCS,91.3632342145704
GBR,2022,Parents with tertiary education (16 years),54.4878564834859
GBR,2022,Parents with 12 years or fewer,31.6586954308311
GBR,2022,HISEI >= 60,53.7835792352959
GBR,2022,HISEI < 35,25.6414550551278
GBR,2022,More than 100 books,30.7330653267867
GBR,2022,25 books or fewer,39.3583063563311
GBR,2022,No valid ESCS,21.4483562383146
GBR,2022,Valid ESCS,78.5516437616854
GBR,2025,Parents with tertiary education (16 years),53.3791134110672
GBR,2025,Parents with 12 years or fewer,40.5732367589218
GBR,2025,HISEI >= 60,54.792275400491
GBR,2025,HISEI < 35,24.5793894975529
GBR,2025,More than 100 books,29.5940849326781
GBR,2025,25 books or fewer,40.8579802274726
GBR,2025,No valid ESCS,11.4330916622564
GBR,2025,Valid ESCS,88.5669083377436
GRC,2022,Parents with tertiary education (16 years),62.718339978582
GRC,2022,Parents with 12 years or fewer,37.281660021418
GRC,2022,HISEI >= 60,37.0483390162844
GRC,2022,HISEI < 35,33.7633828629293
GRC,2022,More than 100 books,33.2585937326895
GRC,2022,25 books or fewer,36.1799943198088
GRC,2022,No valid ESCS,1.46440347840291
GRC,2022,Valid ESCS,98.5355965215971
GRC,2025,Parents with tertiary education (16 years),54.627373343093
GRC,2025,Parents with 12 years or fewer,45.3726266569071
GRC,2025,HISEI >= 60,39.9732461811868
GRC,2025,HISEI < 35,31.8432251697921
GRC,2025,More than 100 books,32.7258357774691
GRC,2025,25 books or fewer,40.3512250946287
GRC,2025,No valid ESCS,4.57855523826914
GRC,2025,Valid ESCS,95.4214447617309
HUN,2022,Parents with tertiary education (16 years),61.7653615806989
HUN,2022,Parents with 12 years or fewer,34.8595901410522
HUN,2022,HISEI >= 60,36.2274506383066
HUN,2022,HISEI < 35,34.5832716942028
HUN,2022,More than 100 books,43.0470392539982
HUN,2022,25 books or fewer,30.952258058346
HUN,2022,No valid ESCS,3.0186309089393
HUN,2022,Valid ESCS,96.9813690910607
HUN,2025,Parents with tertiary education (16 years),54.2033351558917
HUN,2025,Parents with 12 years or fewer,43.7713422562406
HUN,2025,HISEI >= 60,36.1635957021857
HUN,2025,HISEI < 35,32.1977525234706
HUN,2025,More than 100 books,42.4472189306759
HUN,2025,25 books or fewer,32.308725702817
HUN,2025,No valid ESCS,3.94168813000953
