cnt,wave,index,quartile,n,estimate,se,ci_low,ci_high
ARG,2018,escs_h4,Q2,2719,366.4039602162885,4.17513816611958,358.22068941069415,374.58723102188287
ARG,2018,escs_h4,Q3,2992,393.7416039737296,4.212066778058466,385.485953088735,401.99725485872415
ARG,2018,escs_h4,Q4,3470,427.81395899611164,3.7926294661313076,420.38040524249425,435.247512749729
ARG,2018,homepos,Q1,2677,328.07694524440666,4.0084304975726575,320.22042146916425,335.93346901964907
ARG,2018,homepos,Q2,2799,366.95675686494394,3.9073723183619418,359.2983071209545,374.61520660893336
ARG,2018,homepos,Q3,3056,396.4964324183744,3.4718498228215413,389.69160676564417,403.30125807110466
ARG,2018,homepos,Q4,3376,427.5074254875876,3.833140873896138,419.9944693747512,435.02038160042406
ARG,2018,homepos_h4,Q1,2705,334.4146672000631,3.7306567520716607,327.1025799660026,341.72675443412356
ARG,2018,homepos_h4,Q2,2749,371.12111815869133,4.064512709102777,363.15467324884986,379.0875630685328
ARG,2018,homepos_h4,Q3,2952,396.64289292015144,3.6841055319405966,389.42204607754786,403.863739762755
ARG,2018,homepos_h4,Q4,3281,424.59712530315016,3.6383366155944707,417.465985536585,431.72826506971535
BRA,2018,escs,Q1,2626,347.7864343720654,2.74841119564619,342.39954842859885,353.17332031553195
BRA,2018,escs,Q2,2679,365.38505562508715,2.7287602553785897,360.03668552454513,370.73342572562916
BRA,2018,escs,Q3,2652,387.57467836043395,2.8145436087740467,382.0581728872368,393.0911838336311
BRA,2018,escs,Q4,2496,438.5867466894847,4.576364523111136,429.61707222418687,447.5564211547825
BRA,2018,escs_h4,Q1,2605,348.0816501632455,2.571832144002032,343.04085916100155,353.1224411654895
BRA,2018,escs_h4,Q2,2642,367.4080003032501,2.94689431618523,361.63208744352704,373.18391316297317
BRA,2018,escs_h4,Q3,2632,388.6472008606405,2.856807051704207,383.04785903930025,394.24654268198077
BRA,2018,escs_h4,Q4,2481,439.38761527363795,4.400244579522528,430.7631358977738,448.0120946495021
BRA,2018,homepos,Q1,2724,346.6585015749188,2.5794115371773274,341.6028549620512,351.71414818778635
BRA,2018,homepos,Q2,2658,362.90391243845073,2.690924304113181,357.6297008023889,368.17812407451254
BRA,2018,homepos,Q3,2656,392.8211773717794,3.1976472666457805,386.55378872915367,399.08856601440516
BRA,2018,homepos,Q4,2492,435.68307531959147,4.09884571506049,427.6493377180729,443.71681292111003
BRA,2018,homepos_h4,Q1,2664,349.63246708295094,2.375347386478485,344.9767862054531,354.2881479604488
BRA,2018,homepos_h4,Q2,2625,362.71101593659716,2.779383400937726,357.2634244707592,368.1586074024351
BRA,2018,homepos_h4,Q3,2601,398.01745143270875,3.1614751402081573,391.82096015790074,404.21394270751676
BRA,2018,homepos_h4,Q4,2448,436.8105189787726,3.8648814720319713,429.23535129358993,444.3856866639553
CHL,2018,escs,Q1,1470,377.5231274216619,3.9626961615790965,369.75624294496686,385.29001189835697
CHL,2018,escs,Q2,1564,406.82707661141586,4.0217154866392875,398.94451425760286,414.70963896522886
CHL,2018,escs,Q3,1683,422.3623468550335,3.0593469582632054,416.3660268168376,428.3586668932294
CHL,2018,escs,Q4,2694,466.70646485181413,3.7477140499145833,459.3609453139816,474.0519843896467
CHL,2018,escs_h4,Q1,1468,378.4437478941103,3.629325661296123,371.3302695979699,385.5572261902507
CHL,2018,escs_h4,Q2,1554,406.2747588393343,3.9781535368267753,398.47757790715383,414.0719397715148
CHL,2018,escs_h4,Q3,1698,423.1040138795797,2.9461035893200433,417.32965084451246,428.878376914647
CHL,2018,escs_h4,Q4,2684,465.7578997188342,4.1941730085320845,457.53732062211134,473.9784788155571
CHL,2018,homepos,Q1,1506,385.09334869249113,3.052360795553449,379.1107215332064,391.07597585177587
CHL,2018,homepos,Q2,1630,407.9146636864331,3.6415259366563744,400.7772728505866,415.05205452227955
CHL,2018,homepos,Q3,1802,424.05293966831294,4.012285447001913,416.18886019218917,431.9170191444367
CHL,2018,homepos,Q4,2533,454.9683546688082,3.6049925431350673,447.9025692842635,462.0341400533529
CHL,2018,homepos_h4,Q1,1518,388.7865382368814,3.0036333374470607,382.89941689548516,394.6736595782777
CHL,2018,homepos_h4,Q2,1629,404.7939602104734,3.654569841614174,397.63100332090966,411.9569171000372
CHL,2018,homepos_h4,Q3,1792,425.4047925440291,3.772331262710895,418.0110232691157,432.79856181894246
CHL,2018,homepos_h4,Q4,2516,453.40782244085597,3.40531328277736,446.73340840661234,460.0822364750996
COL,2018,escs,Q1,1571,358.9804247442221,3.803929547353319,351.5247228314096,366.4361266570346
COL,2018,escs,Q2,1749,377.4503186360695,4.725381184191552,368.18857151505404,386.71206575708493
COL,2018,escs,Q3,1845,395.8803760562758,4.200907998320742,387.64659637956714,404.11415573298444
COL,2018,escs,Q4,2036,434.5132970824094,6.414057031634419,421.94174530040596,447.08484886441283
COL,2018,escs_h4,Q1,1572,359.600470588559,3.8109204695360037,352.13106646826844,367.06987470884957
COL,2018,escs_h4,Q2,1753,377.68756808900247,4.574925582105682,368.72071394807534,386.6544222299296
COL,2018,escs_h4,Q3,1846,395.65844896269886,4.522323051110024,386.7946957825232,404.5222021428745
COL,2018,escs_h4,Q4,2024,434.0621350493945,6.138814198556128,422.0300592202245,446.0942108785645
COL,2018,homepos,Q1,1526,354.34276428225905,4.140941025768632,346.22651987175254,362.45900869276556
COL,2018,homepos,Q2,1738,380.8563618685786,3.7799358568610737,373.44768758913085,388.2650361480263
COL,2018,homepos,Q3,1847,399.34975491414787,4.8459027664459615,389.8517854919138,408.84772433638193
COL,2018,homepos,Q4,2092,432.24365492730766,5.733566694959104,421.00586420518783,443.4814456494275
COL,2018,homepos_h4,Q1,1530,356.7969943980364,4.06910910163764,348.82154055882665,364.7724482372462
COL,2018,homepos_h4,Q2,1704,377.2261399149049,4.089838406811368,369.2100566375546,385.24222319225515
COL,2018,homepos_h4,Q3,1848,401.6160245205406,4.667430461027802,392.4678608169261,410.7641882241551
COL,2018,homepos_h4,Q4,2080,433.7660557947337,5.322394349418292,423.3341628698738,444.19794871959357
MEX,2018,escs,Q1,1367,377.6634569285093,3.676876553223075,370.45677888419203,384.8701349728265
MEX,2018,escs,Q2,1643,400.0416474517542,3.516127740196718,393.1500370809687,406.93325782253976
MEX,2018,escs,Q3,1690,412.8948648812707,3.8738005742674737,405.3022157557064,420.48751400683494
