cnt,wave,index,quartile,statistic,computed,official,difference,source_table
BRA,2018,escs,Q3,se,2.8145436087740467,2.8271800000000002,-0.012636391225953503,Table I.B1.2b.24
BRA,2018,escs,Q4,estimate,438.5867466894847,438.58675000000005,-3.310515353405208e-06,Table I.B1.2b.24
BRA,2018,escs,Q4,se,4.576364523111136,4.58255,-0.006185476888864727,Table I.B1.2b.24
BRA,2022,escs,Q1,estimate,348.10894502960826,348.10684000000003,0.0021050296082307796,Table I.B1.2b.24
BRA,2022,escs,Q1,se,1.7966819977896482,1.7923300000000002,0.00435199778964801,Table I.B1.2b.24
BRA,2022,escs,Q2,estimate,365.0199885644702,365.01836000000003,0.001628564470195215,Table I.B1.2b.24
BRA,2022,escs,Q2,se,2.007004456255008,2.00251,0.004494456255007773,Table I.B1.2b.24
BRA,2022,escs,Q3,estimate,379.4974949460746,379.49749,4.946074568579206e-06,Table I.B1.2b.24
BRA,2022,escs,Q3,se,2.756352369942032,2.76799,-0.011637630057968362,Table I.B1.2b.24
BRA,2022,escs,Q4,estimate,425.4064475167026,425.40645,-2.4832974077071412e-06,Table I.B1.2b.24
BRA,2022,escs,Q4,se,3.886243976407432,3.8696300000000003,0.016613976407431785,Table I.B1.2b.24
BRA,2025,escs,Q1,estimate,341.57667593558637,341.59129,-0.01461406441364943,Table I.B1.2b.24
BRA,2025,escs,Q1,se,1.6163952671764155,1.6126600000000002,0.003735267176415258,Table I.B1.2b.24
BRA,2025,escs,Q2,estimate,367.19414714120273,367.18293000000006,0.011217141202678249,Table I.B1.2b.24
BRA,2025,escs,Q2,se,1.6551690056438633,1.66067,-0.0055009943561368235,Table I.B1.2b.24
BRA,2025,escs,Q3,estimate,387.8101194453932,387.81012000000004,-5.54606856439932e-07,Table I.B1.2b.24
BRA,2025,escs,Q3,se,2.437462400310336,2.4291,0.008362400310335971,Table I.B1.2b.24
BRA,2025,escs,Q4,estimate,431.99680582398094,431.99681000000004,-4.176019103852013e-06,Table I.B1.2b.24
BRA,2025,escs,Q4,se,3.810964799465062,3.81111,-0.00014520053493827234,Table I.B1.2b.24
CHL,2015,escs,Q1,estimate,378.721975447249,378.72198000000003,-4.552751022401935e-06,Table I.B1.2b.24
CHL,2015,escs,Q1,se,3.7034242473906334,3.6993300000000002,0.004094247390633132,Table I.B1.2b.24
CHL,2015,escs,Q2,estimate,414.6890787209562,414.68908000000005,-1.2790438290721795e-06,Table I.B1.2b.24
CHL,2015,escs,Q2,se,4.480424198414112,4.49978,-0.019355801585888344,Table I.B1.2b.24
CHL,2015,escs,Q3,estimate,426.25102746674264,426.25103,-2.5332573727609997e-06,Table I.B1.2b.24
