cnt,index,quartile,2015,2018,2022,2025
MEX,escs_h4,Q3,416.72555368650654,413.7407227179916,397.60155068043446,392.9334369560911
MEX,escs_h4,Q4,435.8804142060949,444.9581527613344,426.38117852022395,420.456256979007
MEX,homepos,Q1,383.4402351948119,377.0062686960015,362.52430085757976,364.69867732152625
MEX,homepos,Q2,400.06905012176077,400.0706905594576,387.76300875217964,381.311939081608
MEX,homepos,Q3,416.3636159497258,417.9757481079042,402.6170938764157,395.57203481591444
MEX,homepos,Q4,433.97921274265707,440.5346625337226,427.6414080368178,409.8835785529592
MEX,homepos_h4,Q1,383.26955415824216,378.11677463407176,369.2807719543906,361.1891852835224
MEX,homepos_h4,Q2,397.30174038575814,394.6177340791306,383.2563852706129,380.68203055176156
MEX,homepos_h4,Q3,422.70400160937425,424.58664089802267,407.249192321145,399.0091754394446
MEX,homepos_h4,Q4,433.54984094509183,440.013632915523,424.0739427340988,412.51669530089146
PER,escs,Q1,341.1987984170835,352.1691879380271,350.70324501936733,350.42002612919975
PER,escs,Q2,375.01024884418314,387.2264667122873,378.63468386522163,372.39780324849994
PER,escs,Q3,394.93102568678245,410.4480335838927,400.2165732922587,392.37846779751794
PER,escs,Q4,434.8874488500396,450.2579739091658,436.69382801242864,424.89792190456757
PER,escs_h4,Q1,342.1713284443862,352.15617858647494,352.6681986885553,349.80746400144676
PER,escs_h4,Q2,371.9644556776319,388.4690224585098,380.0288700394464,373.49491583527436
PER,escs_h4,Q3,397.61107124354123,410.354693513097,398.91601245776786,391.48558431631403
PER,escs_h4,Q4,435.2044616445848,449.2927137105424,435.1060730667061,426.9317086736337
PER,homepos,Q1,342.49568566118074,353.83392215009275,353.6244612467249,350.8882151841791
PER,homepos,Q2,369.8567172435463,381.69223481734423,374.0999452847544,370.9995860641637
PER,homepos,Q3,400.39948824800655,413.81952558532265,405.01437625782,394.3693245967284
PER,homepos,Q4,433.36251557936794,450.77010599509885,433.2526284322615,415.4734193308324
PER,homepos_h4,Q1,348.55009440423333,360.3357254461643,360.80498662129867,352.1739948372892
PER,homepos_h4,Q2,362.9015046136034,374.3198623083933,369.6262809912609,364.07210848177033
PER,homepos_h4,Q3,409.9397839561325,420.4105521529157,410.1228260259774,398.44945279010415
PER,homepos_h4,Q4,430.43963891687036,449.0791409251955,431.2298488790013,420.9356998277943
URY,escs,Q1,379.60857383026405,374.6432893139546,371.2191068071087,368.9377982348966
URY,escs,Q2,401.55060847232687,402.8047572627461,393.80990438618784,390.39844150786683
URY,escs,Q3,422.7470318319065,425.68460876514837,411.52990541377073,411.9536827057697
URY,escs,Q4,469.84994690656487,465.31241618719577,461.843520652788,462.36023535745136
URY,escs_h4,Q1,381.4994890767615,377.3070527867944,373.6029127169214,368.65533361162795
URY,escs_h4,Q2,402.8093234569577,403.7301747066398,392.853069495098,390.03682727601256
URY,escs_h4,Q3,422.9356497674138,424.0196539837078,413.3824647403182,413.2751464169475
URY,escs_h4,Q4,469.1871942497507,466.1975310703444,460.8196130133366,463.7754458268193
URY,homepos,Q1,381.88050566837103,375.14500221764365,362.1229857946552,376.4059278050432
URY,homepos,Q2,403.9247467278127,405.69592110429943,397.63252364718227,394.1926342276094
URY,homepos,Q3,426.3093077115251,427.91816141230464,419.40397603248914,412.57993766869686
URY,homepos,Q4,461.60453691379035,459.0054972447885,456.4832584548323,440.4028492658641
URY,homepos_h4,Q1,385.30528306592214,381.83074068072244,367.52600154170665,378.38797094532435
URY,homepos_h4,Q2,411.29859656324015,404.67380691679017,403.8187817709716,392.2174571114923
URY,homepos_h4,Q3,429.51751665822457,433.1405548288232,423.5401746614657,414.8144348842031
URY,homepos_h4,Q4,460.4167426406364,456.487008144463,449.0039414630734,442.9793362743065
