cnt,wave,index,n,estimate,se,ci_low,ci_high
CHL,2022,homepos_h4,6207,57.00124978022357,3.91653972503079,49.324831919163216,64.67766764128392
COL,2022,escs,7459,78.5552143369812,6.4613461633165326,65.89097585688079,91.2194528170816
COL,2022,escs_h4,7445,73.60570973112723,6.505545085734274,60.854841363088056,86.35657809916641
COL,2022,homepos,7478,86.60111783718469,5.792941774055639,75.24695196003563,97.95528371433375
COL,2022,homepos_h4,7399,74.98247309992776,5.638598416617257,63.93082020335794,86.03412599649758
MEX,2022,escs,6270,58.45077533690228,4.567857001541482,49.497775613880975,67.40377505992359
MEX,2022,escs_h4,6262,56.52234554865017,4.575876448557853,47.55362770947678,65.49106338782356
MEX,2022,homepos,6270,65.11710717923793,5.0266468668320154,55.26487932024718,74.96933503822868
MEX,2022,homepos_h4,6221,54.793170779708205,5.036342383982724,44.92193970710207,64.66440185231434
PER,2022,escs,6923,85.99058299306132,4.211053336703986,77.73691845312152,94.24424753300113
PER,2022,escs_h4,6915,82.43787437815077,3.92785090025101,74.73928661365879,90.13646214264274
PER,2022,homepos,6927,79.62816718553654,4.297567409973924,71.20493506198765,88.05139930908543
PER,2022,homepos_h4,6831,70.42486225770267,4.042847041482691,62.5008820563966,78.34884245900875
URY,2022,escs,6508,90.6244138456794,4.369500756857247,82.06019236223919,99.1886353291196
URY,2022,escs_h4,6480,87.21670029641514,3.8625310229118854,79.64613949150785,94.78726110132243
URY,2022,homepos,6561,94.36027266017709,4.06413236533114,86.39457322412805,102.32597209622612
URY,2022,homepos_h4,6447,81.4779399213667,4.424146055109516,72.80661365335204,90.14926618938135
ARG,2025,escs,9808,79.17714773801694,6.291233777630712,66.84632953386074,91.50796594217314
ARG,2025,escs_h4,9734,77.7574619871738,5.870476086083581,66.25132885844998,89.26359511589762
ARG,2025,homepos,10409,67.17386578287785,5.5412852149982115,56.312946761481356,78.03478480427435
ARG,2025,homepos_h4,10215,71.7303242475542,5.53940774966191,60.87308505821685,82.58756343689154
BRA,2025,escs,27442,90.42012988839463,3.8898561042563644,82.79601192405215,98.0442478527371
BRA,2025,escs_h4,27233,90.09028356008363,3.817026043409377,82.60891251500125,97.57165460516602
BRA,2025,homepos,29332,79.36329522872084,3.537870421751388,72.42906920208813,86.29752125535356
BRA,2025,homepos_h4,28735,85.61629710768725,3.3650725871444864,79.02075483688405,92.21183937849044
CHL,2025,escs,5977,69.69662376818329,4.858481224173248,60.17400056880372,79.21924696756285
CHL,2025,escs_h4,5966,70.78335965104691,4.737511243507107,61.49783761377298,80.06888168832084
CHL,2025,homepos,6167,51.24431703866494,4.22435129729768,42.964588495961486,59.52404558136839
CHL,2025,homepos_h4,6123,55.35752702663952,4.056298534202397,47.40718189960282,63.307872153676215
COL,2025,escs,6829,78.08673701382163,6.6183239249922545,65.11482212083682,91.05865190680645
COL,2025,escs_h4,6805,77.39960116538585,6.825802271257954,64.02102871372026,90.77817361705144
COL,2025,homepos,7078,74.70566419168932,5.826715883977418,63.285301059093584,86.12602732428506
COL,2025,homepos_h4,7003,73.0833439342569,4.895698500361979,63.48777487354742,82.67891299496638
MEX,2025,escs,7669,57.16757314214802,3.813030344145953,49.69403366762195,64.64111261667409
MEX,2025,escs_h4,7659,57.95280302258273,3.8174149596648297,50.470669701639665,65.43493634352579
MEX,2025,homepos,7818,45.18490123143295,3.763877895987244,37.807700555297956,52.56210190756795
MEX,2025,homepos_h4,7796,51.32751001736905,3.829265164514375,43.822150294920874,58.83286973981723
PER,2025,escs,6650,74.47789577536783,5.1633906787204396,64.35765004507576,84.5981415056599
PER,2025,escs_h4,6631,77.124244672187,4.984257082325417,67.35510079082918,86.89338855354482
PER,2025,homepos,6911,64.58520414665338,4.570556647802852,55.62691311695979,73.54349517634697
PER,2025,homepos_h4,6852,68.76170499050514,4.125429328951227,60.67586350576073,76.84754647524954
URY,2025,escs,6235,93.42243712255473,4.385229024702694,84.82738823413744,102.01748601097201
URY,2025,escs_h4,6204,95.12011221519134,4.219160280120476,86.8505580661552,103.38966636422748
URY,2025,homepos,6465,63.9969214608209,4.743026789776113,54.70058895285972,73.29325396878208
URY,2025,homepos_h4,6374,64.59136532898218,4.061568293510993,56.63069147370063,72.55203918426372
