rule,cnt,gap_2022,gap_2025,change,se
Books: more than 100 vs 25 or fewer,SVK,114.81142891800866,109.03130289430264,-5.780126023706018,6.742155896232367
Books: more than 100 vs 25 or fewer,SVN,91.47624991839919,88.47100779562257,-3.0052421227766217,4.88881925478682
Books: more than 100 vs 25 or fewer,SWE,105.55279285571847,102.64498974986518,-2.90780310585329,5.9742980299669854
Books: more than 100 vs 25 or fewer,TUR,81.11837404644864,80.9680843900362,-0.15028965641243985,5.115162784196656
Books: more than 100 vs 25 or fewer,USA,97.80381884341399,100.1124308944349,2.3086120510209014,10.461368814089358
Possessions: top vs bottom quartile of the fixed 16-item score,AUS,84.24565409315684,76.14208852756379,-8.103565565593058,7.530131474084266
Possessions: top vs bottom quartile of the fixed 16-item score,AUT,110.78232726045053,96.54091373133448,-14.241413529116045,6.629964997786079
Possessions: top vs bottom quartile of the fixed 16-item score,BEL,97.90082743565647,89.71184755399555,-8.188979881660913,7.367822384912855
Possessions: top vs bottom quartile of the fixed 16-item score,CAN,63.296948633528885,60.89594408796804,-2.401004545560845,5.857027733990621
Possessions: top vs bottom quartile of the fixed 16-item score,CHE,99.17038805893233,83.33171664141847,-15.838671417513865,6.876469526583391
Possessions: top vs bottom quartile of the fixed 16-item score,CHL,56.722976090704904,64.12645393244755,7.403477841742642,6.5492818817140135
Possessions: top vs bottom quartile of the fixed 16-item score,COL,82.02607662772814,91.92740856941438,9.901331941686237,17.850734340624367
Possessions: top vs bottom quartile of the fixed 16-item score,CZE,82.1382472746655,71.93919829467542,-10.199048979990081,7.258769185467685
Possessions: top vs bottom quartile of the fixed 16-item score,DEU,107.21204838988345,116.5411171073655,9.329068717482045,7.702573682947491
Possessions: top vs bottom quartile of the fixed 16-item score,DNK,73.40222130440819,86.75558774494758,13.35336644053939,6.854984136107437
Possessions: top vs bottom quartile of the fixed 16-item score,ESP,65.18337552822724,67.37147891012017,2.1881033818929296,4.7581412787338335
Possessions: top vs bottom quartile of the fixed 16-item score,EST,58.08723341069424,51.79624608951726,-6.290987321176978,6.486271756323278
Possessions: top vs bottom quartile of the fixed 16-item score,FIN,58.09432065740687,37.72638404517589,-20.367936612230977,6.149420761942696
Possessions: top vs bottom quartile of the fixed 16-item score,FRA,94.14314581481395,83.15804773786019,-10.985098076953761,7.007304788264118
Possessions: top vs bottom quartile of the fixed 16-item score,GBR,72.57785037270885,69.32222496822908,-3.2556254044797726,7.701576837588628
Possessions: top vs bottom quartile of the fixed 16-item score,GRC,35.61163891070994,25.064084337195347,-10.547554573514596,9.010105754762495
Possessions: top vs bottom quartile of the fixed 16-item score,HUN,94.20650417212167,86.48803359130622,-7.718470580815449,7.50209197907674
Possessions: top vs bottom quartile of the fixed 16-item score,IRL,70.59539579741829,73.16645796406672,2.5710621666484315,7.40272613238697
Possessions: top vs bottom quartile of the fixed 16-item score,ISL,75.03504682771529,67.19771090267861,-7.837335925036683,9.658633707926072
Possessions: top vs bottom quartile of the fixed 16-item score,ISR,82.24133137492096,74.89507305466695,-7.346258320254009,8.259226408046741
Possessions: top vs bottom quartile of the fixed 16-item score,ITA,69.95627900038944,69.51949956813873,-0.4367794322507166,7.306083524656702
Possessions: top vs bottom quartile of the fixed 16-item score,JPN,32.83211439231773,29.021822162808142,-3.810292229509585,9.980386854232677
Possessions: top vs bottom quartile of the fixed 16-item score,KOR,68.05603611027044,58.02404872186598,-10.03198738840446,8.984592020569272
Possessions: top vs bottom quartile of the fixed 16-item score,LTU,58.65544831933234,51.128667558143206,-7.526780761189137,6.98320882906953
Possessions: top vs bottom quartile of the fixed 16-item score,LVA,49.91282377482595,34.56216082866114,-15.35066294616481,6.936804082999708
Possessions: top vs bottom quartile of the fixed 16-item score,MEX,42.64594490112522,43.64047504605165,0.9945301449264292,9.990428276544725
Possessions: top vs bottom quartile of the fixed 16-item score,NLD,102.49071557538517,72.13743582277976,-30.353279752605403,11.007082672127659
Possessions: top vs bottom quartile of the fixed 16-item score,NOR,77.8743732429565,67.82589832879776,-10.048474914158732,7.505408754290679
Possessions: top vs bottom quartile of the fixed 16-item score,NZL,93.76490260710318,87.90351659414996,-5.8613860129532185,6.709617350842297
Possessions: top vs bottom quartile of the fixed 16-item score,POL,54.426279291511285,50.818278554301806,-3.60800073720948,7.48728303540449
Possessions: top vs bottom quartile of the fixed 16-item score,PRT,73.0478822118483,67.00647298402257,-6.0414092278257385,6.8574103333213925
Possessions: top vs bottom quartile of the fixed 16-item score,SVK,91.93610535638622,87.47731264634771,-4.458792710038509,9.154612044167328
Possessions: top vs bottom quartile of the fixed 16-item score,SVN,56.88745581124348,61.919830390229436,5.032374578985959,6.328119520143608
Possessions: top vs bottom quartile of the fixed 16-item score,SWE,100.59017690913909,81.54115164413895,-19.04902526500014,7.5921019141494
Possessions: top vs bottom quartile of the fixed 16-item score,TUR,38.15289985233504,36.083958293959384,-2.0689415583756556,13.972109730781444
Possessions: top vs bottom quartile of the fixed 16-item score,USA,86.6743921397094,85.82292088522074,-0.8514712544886578,12.542469945411295
Occupation and books,AUS,126.68503500808995,115.14750231154449,-11.537532696545469,5.797951084397962
Occupation and books,AUT,142.42054812948203,131.54316581684225,-10.877382312639782,6.541046703719504
Occupation and books,BEL,130.1796536368699,124.15251521267894,-6.027138424190952,6.876012422714999
Occupation and books,CAN,96.07111417415913,95.58061393392487,-0.49050024023426886,5.880688274668852
Occupation and books,CHE,132.52295576442435,132.47748306609145,-0.04547269833290102,7.4217654287524795
Occupation and books,CHL,103.96494647528311,95.88053122934488,-8.084415245938231,8.233248421393718
Occupation and books,COL,114.94841136477825,111.90559480989899,-3.0428165548792663,13.289080377912306
