cnt,escs_Q1_change,escs_Q4_change,escs_Q4-Q1_change,escs_Q4-Q1_se,escs_h_Q1_change,escs_h_Q4_change,escs_h_Q4-Q1_change,escs_h_Q4-Q1_se,homepos_Q1_change,homepos_Q4_change,homepos_Q4-Q1_change,homepos_Q4-Q1_se,homepos_h_Q1_change,homepos_h_Q4_change,homepos_h_Q4-Q1_change,homepos_h_Q4-Q1_se
POL,4.901130853057623,-16.678791545100694,-21.57992239815843,7.965313564533949,-5.039013537129051,-8.179393554262106,-3.1403800171330545,7.691820873873752,18.45028562476301,-32.55200085224118,-51.00228647700428,7.260208988281411,0.8736622034460311,-6.260838909863367,-7.134501113309582,7.328057999958653
KOR,-8.281520037279734,-29.2294509335901,-20.947930896310297,8.335652082394612,-14.912007585027538,-25.703642261579603,-10.791634676552007,7.989958032650372,12.68295335050442,-35.67982443906317,-48.362777789567474,10.272691556218325,-2.3681546784188185,-22.86118861218074,-20.49303393376188,9.069958161592217
AUS,1.3802578286499738,-19.23376947223062,-20.614027300880466,5.31529714617552,-4.499109020968263,-7.567282416680428,-3.068173395712265,4.87156376556615,14.198218927832556,-31.434594369629508,-45.63281329746205,5.423678113220121,-6.111717768285871,-8.793863290591617,-2.6821455223058166,5.183131969210531
ISL,4.100625141456987,-14.384299407039975,-18.484924548497062,7.447396465282127,-3.721550256205148,-1.5292013050930109,2.192348951112237,7.466390203163791,-2.1564074541995524,-33.73535114931866,-31.57894369511923,7.509873483100922,-17.54942224581032,-12.027332115775778,5.522090130034535,7.148591153585473
GBR,2.9398674337450643,-15.061785391113515,-18.001652824858326,7.6923763853023805,1.8645151195907488,-3.378789374718508,-5.243304494309356,7.877534246197973,20.187215799324235,-25.72184522945747,-45.90906102878184,6.973235067486406,5.3310295875066345,-6.402893452907733,-11.73392304041424,7.479587733030957
ESP,-15.043211642673157,-33.03195333060063,-17.988741687927572,4.711193358940366,-19.75298693662927,-22.95331585973952,-3.200328923110277,4.753753637156302,-4.109932835275174,-41.59728851344465,-37.48735567816946,4.934343736674225,-17.909330146854586,-22.79787375982596,-4.888543612971368,5.052251255770185
SWE,-14.231977090231965,-32.20561800860503,-17.973640918373007,7.298275972753882,-20.056034587165698,-20.88422428113097,-0.8281896939652853,7.741837291182311,7.583185664204223,-51.21359472543736,-58.7967803896416,7.309298931975346,-12.316993211948043,-26.40003672371887,-14.08304351177074,7.929151078466209
CAN,-9.987814197140324,-27.425005203541215,-17.437191006400717,5.389115411511637,-12.651820536066452,-16.240329450797617,-3.5885089147311646,5.4742780379296025,-1.6605222398193291,-41.62830965239544,-39.9677874125761,5.881670779619321,-14.182666945436722,-19.388638332997687,-5.205971387561071,5.897873098362194
NZL,11.19874322470423,-5.36138943380422,-16.56013265850848,7.099197740892722,5.955937737017223,7.212609923193213,1.2566721861761323,6.866480270906997,7.845121378406361,-11.514485712065609,-19.35960709047201,7.011410501257161,-4.599292863143091,5.550489406702923,10.149782269845817,7.366551263929206
FIN,-7.337098748823564,-23.721775884956852,-16.38467713613329,5.778417511306789,-15.04478240153037,-11.998651577771398,3.0461308237588867,5.572045697432037,13.506423279075989,-40.47959930630452,-53.98602258538043,5.193803060206915,-5.685082414514625,-18.249519086247236,-12.564436671732407,5.25782737568199
SVK,14.831627716355683,-0.7494243706383941,-15.581052086993992,8.492643262699369,0.4048860141783166,4.504291330635851,4.099405316457549,8.28540941350277,33.835298339874896,-23.34013426471074,-57.17543260458565,9.03784879796876,13.164631332814338,-3.5849107996838825,-16.749542132498263,8.949454665577457
DNK,-18.54823063821368,-34.01779779653168,-15.469567158317927,7.359756003976781,-23.707922652187108,-18.927741047867983,4.780181604319196,6.939772306062103,-18.29660493880118,-46.73697023478212,-28.440365295980808,6.917876482371866,-29.78137791787248,-29.631715040630468,0.1496628772421004,7.01536787317194
COL,-2.745140802529363,-15.670842265765144,-12.92570146323581,10.162059408522106,-5.4775920781956415,-10.689948121718771,-5.212356043523073,10.616330953061436,3.46581644734988,-28.19885301746524,-31.66466946481516,9.664471660387632,-2.950922172048706,-21.634522437041998,-18.68360026499313,9.474080989395912
NOR,-17.348857039462075,-28.25169124694787,-10.902834207485624,7.298000881115397,-21.69359791374802,-18.41384663920616,3.279751274541937,7.048459118702777,-1.5673281304727311,-41.05151400153915,-39.484185871066416,7.255231139475671,-14.735291041744574,-21.28345344980778,-6.548162408063163,7.426416062031822
MEX,-1.9642275085502088,-12.196220191060831,-10.231992682510535,7.532712114159365,-4.8418859260712,-10.864072439236054,-6.022186513164925,7.784173448305746,7.379898320612938,-24.813828141252657,-32.19372646186566,7.858953872856764,-1.77470515744443,-17.788700977029123,-16.013995819584686,7.9734329067548995
GRC,-11.493136995486909,-21.334281354860195,-9.84114435937336,7.426203123292845,-15.079566058240571,-13.58137163026896,1.4981944279715549,7.682636765920499,0.0653959826254322,-37.91967381246696,-37.98506979509218,6.367605985507916,-12.462099070151112,-18.152565305376413,-5.69046623522533,6.525598138623719
NLD,-12.710789484208703,-22.074198184167926,-9.36340869995928,8.976053055163336,-12.17245513631036,-13.52872242116564,-1.356267284855292,9.44901329269164,6.158150301160902,-47.52279246297212,-53.68094276413306,8.879331949762197,10.716546446423934,-26.40174277770029,-37.118289224124176,8.967965067529889
PRT,-9.19904508883269,-18.210226099093177,-9.011181010260614,6.940667455422759,-11.315836605785591,-11.06425748564726,0.2515791201385156,6.299880214720507,-1.4783241581741322,-29.34933909427184,-27.871014936097765,8.113312935363902,-10.319508555651907,-17.586635950285654,-7.267127394633725,7.148288897049923
JPN,-6.887060043192378,-15.286769331461072,-8.399709288268568,9.159674728685848,-15.417615640334247,-2.3316543304017614,13.085961309932443,9.1885063595349,10.67408167136182,-38.11193358679543,-48.78601525815734,7.779017091091885,-9.7059616709509,-12.303488507450425,-2.5975268364993767,8.129563416784455
IRL,-10.0383200957491,-15.063072002069816,-5.024751906320702,5.609192374233156,-13.778128053631008,-10.192645476562916,3.5854825770680634,5.355923120591167,-5.142578414598063,-27.556331790077024,-22.413753375479157,6.032620969526503,-18.96749946181677,-14.32512619193426,4.642373269882491,6.07674568133692
CHL,-1.5801086260638613,-6.024645583913127,-4.444536957849294,7.948153277172904,-7.172590089151072,-0.252971137186762,6.9196189519642815,8.199355920975863,0.7190514234800958,-17.687251132338076,-18.40630255581816,6.997244308509051,-10.187012248626502,-0.555824418061718,9.63118783056484,6.752016889180106
EST,-12.93129431557702,-17.314899542782655,-4.38360522720555,6.361633557234867,-18.10494355241974,-10.530205749030642,7.574737803389041,6.157058343512018,4.994414187796167,-26.22780265830437,-31.22221684610043,5.966774447949925,-12.79166758466971,-10.43100128616902,2.3606662985007034,6.080859197261678
ITA,-4.18852530714446,-4.760321832799946,-0.571796525655401,7.154311224189308,-11.418198599173934,-1.2401748514307656,10.178023747742955,6.802804084520234,-0.0650395437950805,-18.189319013262264,-18.12427946946719,6.99230509784041,-16.32775917582751,-3.99793953933812,12.32981963648939,6.836568910115301
DEU,-13.752739230047323,-11.439290466598322,2.31344876344906,8.231694202750015,-17.12597271989989,-1.4920014189673338,15.633971300932744,7.990372914305219,-1.1805863457549322,-26.24377205181395,-25.06318570605916,8.667860407594278,-17.275147690020674,-6.666379654474781,10.608768035545864,8.834570777608636
TUR,16.594081588628455,19.820972837958493,3.226891249329995,6.493404569148432,11.48648462933761,23.517721696274464,12.03123706693679,6.437725587218898,30.78728839392272,-2.4070942389379866,-33.194382632860794,6.724634148976655,16.95185427913583,13.141217174116605,-3.810637105019112,7.110794762750295
USA,-9.810168718676437,-5.339042900971663,4.47112581770466,17.72817095902011,-18.207561161967305,2.339774211699023,20.5473353736664,18.586159839788504,-11.047961778612091,-25.48101185636256,-14.433050077750408,15.196720737309304,-20.17747474195852,-1.461310659442347,18.71616408251593,15.846825351843348
