cnt,index,n_systems,countries,status,group,mean_2022,mean_2025,link_se,estimate,se,ci_low,ci_high
COL,homepos_h,1,COL,both cycles,Q4-Q1,78.72029129547775,75.43953718538052,0.0,-3.2807541100972344,7.663415175250621,-18.30104785358845,11.739539633393981
MEX,homepos_h,1,MEX,both cycles,Q4-Q1,55.34604585004388,52.335180678097686,0.0,-3.010865171946193,6.0886190079012605,-14.944558427432664,8.922828083540278
PER,homepos_h,1,PER,both cycles,Q4-Q1,75.33774343223126,69.49412774178973,0.0,-5.843615690441538,5.995287787328702,-17.594379753605793,5.907148372722718
URY,homepos_h,1,URY,both cycles,Q4-Q1,84.14860560864605,71.05781902397354,0.0,-13.090786584672514,5.9961313091271204,-24.843203950561673,-1.3383692187833578
LATAM7,homepos_h,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,71.72597942807403,70.06256158951072,0.0,-1.663417838563305,2.401847805749476,-6.371039537832278,3.044203860705668
ARG,escs_cc,1,ARG,both cycles,Q4-Q1,74.87974693785912,82.5504631197204,0.0,7.67071618186128,7.623316302771111,-7.270983771570098,22.61241613529266
BRA,escs_cc,1,BRA,both cycles,Q4-Q1,77.90555243218904,90.94972940861277,0.0,13.044176976423728,5.822535281928369,1.6320078238441251,24.45634612900333
CHL,escs_cc,1,CHL,both cycles,Q4-Q1,68.6465180610785,69.9752566488695,0.0,1.3287385877910083,6.563466967407294,-11.535656668327288,14.193133843909305
COL,escs_cc,1,COL,both cycles,Q4-Q1,78.6803235865259,80.8430706919475,0.0,2.1627471054216016,9.769474068839552,-16.98542206950392,21.310916280347122
MEX,escs_cc,1,MEX,both cycles,Q4-Q1,58.61431778766848,55.23551065626623,0.0,-3.3788071314022545,5.9089679961216826,-14.960384403800752,8.202770140996243
PER,escs_cc,1,PER,both cycles,Q4-Q1,87.43988074326006,80.88656466743294,0.0,-6.5533160758271265,6.905005658281783,-20.08712716605942,6.980495014405168
URY,escs_cc,1,URY,both cycles,Q4-Q1,88.86502315113694,91.69464433013877,0.0,2.8296211790018333,6.27841618484466,-9.476074543293699,15.135316901297365
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,76.4330518142454,78.87646278899837,0.0,2.4434109747529646,2.6823387087922734,-2.8139728944798907,7.70079484398582
ARG,escs_h_cc,1,ARG,both cycles,Q4-Q1,73.1740736757601,85.45775436377147,0.0,12.283680688011373,7.729875607810544,-2.866875503297294,27.43423687932004
BRA,escs_h_cc,1,BRA,both cycles,Q4-Q1,77.44404220409916,91.14506668795093,0.0,13.701024483851768,5.759416151849525,2.4125688262266998,24.989480141476836
CHL,escs_h_cc,1,CHL,both cycles,Q4-Q1,66.38718524548995,74.40273712931571,0.0,8.015551883825765,6.596462441568808,-4.913514501649098,20.944618269300626
COL,escs_h_cc,1,COL,both cycles,Q4-Q1,75.90229915171926,81.98883417860765,0.0,6.086535026888384,9.844552290519493,-13.208787462529823,25.381857516306592
MEX,escs_h_cc,1,MEX,both cycles,Q4-Q1,56.73797759907569,56.8803932730134,0.0,0.14241567393770538,5.8841108256348935,-11.390441544306686,11.675272892182097
PER,escs_h_cc,1,PER,both cycles,Q4-Q1,85.18242972943199,81.28259322128241,0.0,-3.8998365081495763,6.998002766490909,-17.615921930471757,9.816248914172604
URY,escs_h_cc,1,URY,both cycles,Q4-Q1,87.99522108708896,94.54999302157438,0.0,6.554771934485416,6.234849048736935,-5.665532201038976,18.77507607000981
LATAM7,escs_h_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,Q4-Q1,74.68903267038064,80.81533883935941,0.0,6.126306168978772,2.694736076035656,0.8446234599488864,11.407988878008657
