cnt,index,field,new,existing,difference
COL,escs,Q4-Q3_change,-5.510371233280864,-5.510371233280807,-5.684341886080802e-14
COL,escs,Q4-Q3_se,7.538366779249906,7.538366779249904,2.6645352591003757e-15
MEX,escs,Q1_2022,369.1964651437033,369.1964651437033,0.0
MEX,escs,Q1_2025,362.65924264442464,362.65924264442464,0.0
MEX,escs,Q1_change,-6.537222499278641,-6.537222499278641,0.0
MEX,escs,Q1_se,3.5235875115963897,3.5235875115963893,4.440892098500626e-16
MEX,escs,Q2_2022,385.84056690470385,385.8405669047039,-5.684341886080802e-14
MEX,escs,Q2_2025,381.73170253905545,381.73170253905545,0.0
MEX,escs,Q2_change,-4.108864365648401,-4.108864365648401,0.0
MEX,escs,Q2_se,3.442997001856934,3.4429970018569342,-4.440892098500626e-16
MEX,escs,Q3_2022,397.7417315451392,397.7417315451392,0.0
MEX,escs,Q3_2025,392.3017928341875,392.3017928341875,0.0
MEX,escs,Q3_change,-5.439938710951708,-5.439938710951708,0.0
MEX,escs,Q3_se,5.0102956764208955,5.010295676420896,-8.881784197001252e-16
MEX,escs,Q4_2022,427.6472404806056,427.6472404806056,0.0
MEX,escs,Q4_2025,419.82681578657264,419.82681578657264,0.0
MEX,escs,Q4_change,-7.820424694032965,-7.820424694032965,0.0
MEX,escs,Q4_se,5.681407512662046,5.681407512662047,-8.881784197001252e-16
MEX,escs,Q2-Q1_2022,16.64410176100057,16.64410176100052,4.973799150320701e-14
MEX,escs,Q2-Q1_2025,19.07245989463081,19.07245989463082,-1.0658141036401503e-14
MEX,escs,Q2-Q1_change,2.4283581336302404,2.428358133630301,-6.039613253960852e-14
MEX,escs,Q2-Q1_se,3.791286095852565,3.791286095852565,0.0
MEX,escs,Q3-Q1_2022,28.545266401435924,28.545266401435946,-2.1316282072803006e-14
MEX,escs,Q3-Q1_2025,29.642550189762858,29.64255018976288,-2.1316282072803006e-14
MEX,escs,Q3-Q1_change,1.0972837883269335,1.0972837883269335,0.0
MEX,escs,Q3-Q1_se,5.074661348770161,5.07466134877016,8.881784197001252e-16
MEX,escs,Q4-Q1_2022,58.450775336902325,58.45077533690228,4.263256414560601e-14
MEX,escs,Q4-Q1_2025,57.167573142148,57.16757314214802,-2.1316282072803006e-14
MEX,escs,Q4-Q1_change,-1.283202194754324,-1.28320219475426,-6.394884621840902e-14
MEX,escs,Q4-Q1_se,5.950169576735552,5.9501695767355525,-8.881784197001252e-16
MEX,escs,Q3-Q2_2022,11.901164640435354,11.901164640435429,-7.460698725481052e-14
MEX,escs,Q3-Q2_2025,10.570090295132047,10.570090295132058,-1.0658141036401503e-14
MEX,escs,Q3-Q2_change,-1.331074345303307,-1.3310743453033709,6.394884621840902e-14
MEX,escs,Q3-Q2_se,4.781251024722575,4.781251024722575,0.0
MEX,escs,Q4-Q2_2022,41.806673575901755,41.80667357590177,-1.4210854715202004e-14
MEX,escs,Q4-Q2_2025,38.09511324751719,38.095113247517205,-1.4210854715202004e-14
MEX,escs,Q4-Q2_change,-3.7115603283845644,-3.711560328384565,4.440892098500626e-16
MEX,escs,Q4-Q2_se,5.771957191309449,5.7719571913094505,-1.7763568394002505e-15
MEX,escs,Q4-Q3_2022,29.9055089354664,29.905508935466344,5.684341886080802e-14
MEX,escs,Q4-Q3_2025,27.525022952385143,27.52502295238515,-7.105427357601002e-15
MEX,escs,Q4-Q3_change,-2.3804859830812575,-2.380485983081193,-6.439293542825908e-14
MEX,escs,Q4-Q3_se,5.804502422314496,5.804502422314497,-1.7763568394002505e-15
CHL,homepos,Q1_2022,378.34203966360235,378.3420396636024,-5.684341886080802e-14
CHL,homepos,Q1_2025,380.638444230853,380.638444230853,0.0
