cnt,index,n_systems,countries,status,group,mean_2022,mean_2025,link_se,estimate,se,ci_low,ci_high
BRA,escs_pca,1,BRA,both cycles,Q4-Q3,46.271131751968994,47.929109565625254,0.0,1.6579778136562595,4.921156766800838,-7.987489449273383,11.303445076585902
CHL,escs_pca,1,CHL,both cycles,Q1,386.33778597218617,376.30732605825403,1.22,-10.030459913932134,4.301093814185507,-18.46060378973573,-1.6003160381285397
CHL,escs_pca,1,CHL,both cycles,Q2,401.5616344616976,389.66133601183026,1.22,-11.900298449867364,4.480785084375674,-20.682637215243684,-3.117959684491044
CHL,escs_pca,1,CHL,both cycles,Q3,415.39895105406515,408.4218642994549,1.22,-6.977086754610241,4.68529090056114,-16.160256919710072,2.206083410489592
CHL,escs_pca,1,CHL,both cycles,Q4,452.1384302134653,452.1252940345397,1.22,-0.013136178925606146,5.134266548193643,-10.076298613385145,10.050026255533933
CHL,escs_pca,1,CHL,both cycles,Q2-Q1,15.223848489511454,13.354009953576224,0.0,-1.86983853593523,4.924482661847073,-11.521824553155493,7.782147481285033
CHL,escs_pca,1,CHL,both cycles,Q3-Q1,29.061165081878983,32.114538241200876,0.0,3.053373159321893,5.443186052584627,-7.615271503743976,13.722017822387762
CHL,escs_pca,1,CHL,both cycles,Q4-Q1,65.80064424127914,75.81796797628567,0.0,10.017323735006528,6.630638999313314,-2.978728703647567,23.013376173660625
CHL,escs_pca,1,CHL,both cycles,Q3-Q2,13.837316592367529,18.760528287624652,0.0,4.923211695257123,5.036025470529003,-4.947398226979722,14.793821617493968
CHL,escs_pca,1,CHL,both cycles,Q4-Q2,50.57679575176769,62.46395802270945,0.0,11.887162270941758,5.612044280646916,0.887555480873802,22.886769061009716
CHL,escs_pca,1,CHL,both cycles,Q4-Q3,36.73947915940016,43.7034297350848,0.0,6.963950575684635,5.671008402465733,-4.151225893148203,18.07912704451747
COL,escs_pca,1,COL,both cycles,Q1,352.86917116675966,351.48840463809705,1.22,-1.3807665286626047,4.024682376917618,-9.269143987421137,6.507610930095927
COL,escs_pca,1,COL,both cycles,Q2,369.96405447582083,371.34115395757806,1.22,1.3770994817572273,4.41504889103343,-7.276396344668296,10.03059530818275
COL,escs_pca,1,COL,both cycles,Q3,386.00636034820184,387.4987463018399,1.22,1.4923859536380633,5.82824436831162,-9.930973008252712,12.915744915528839
COL,escs_pca,1,COL,both cycles,Q4,427.90139512921314,431.18922734156166,1.22,3.287832212348519,8.988772338492955,-14.330161571097673,20.90582599579471
COL,escs_pca,1,COL,both cycles,Q2-Q1,17.094883309061174,19.852749319481006,0.0,2.757866010419832,4.709835598199946,-6.473411762052061,11.989143782891725
COL,escs_pca,1,COL,both cycles,Q3-Q1,33.13718918144218,36.01034166374285,0.0,2.873152482300668,5.800586461060583,-8.495996981378074,14.24230194597941
COL,escs_pca,1,COL,both cycles,Q4-Q1,75.03222396245349,79.70082270346461,0.0,4.668598741011124,9.478809802222003,-13.909868471344002,23.24706595336625
COL,escs_pca,1,COL,both cycles,Q3-Q2,16.042305872381007,16.157592344261843,0.0,0.11528647188083596,4.865134266628499,-9.420376690711022,9.650949634472694
COL,escs_pca,1,COL,both cycles,Q4-Q2,57.93734065339231,59.8480733839836,0.0,1.9107327305912918,9.10248372761258,-15.930135375529364,19.751600836711948
COL,escs_pca,1,COL,both cycles,Q4-Q3,41.895034781011304,43.69048103972176,0.0,1.7954462587104558,8.010727208955274,-13.905579070841881,17.496471588262793
MEX,escs_pca,1,MEX,both cycles,Q1,370.84761487682084,363.99447289265856,1.22,-6.853141984162278,3.5728256247019106,-13.855880208578021,0.14959624025346674
MEX,escs_pca,1,MEX,both cycles,Q2,385.35418612997995,379.34247242632966,1.22,-6.011713703650287,3.63387905420562,-13.1341166498933,1.110689242592728
MEX,escs_pca,1,MEX,both cycles,Q3,397.6514873494862,392.34318955762484,1.22,-5.308297791861378,4.819392552041949,-14.754307193863598,4.137711610140842
