cnt,index,n_systems,countries,status,Q1_2022,Q1_2025,Q1_change,Q1_se,Q2_2022,Q2_2025,Q2_change,Q2_se,Q3_2022,Q3_2025,Q3_change,Q3_se,Q4_2022,Q4_2025,Q4_change,Q4_se,Q2-Q1_2022,Q2-Q1_2025,Q2-Q1_change,Q2-Q1_se,Q3-Q1_2022,Q3-Q1_2025,Q3-Q1_change,Q3-Q1_se,Q4-Q1_2022,Q4-Q1_2025,Q4-Q1_change,Q4-Q1_se,Q3-Q2_2022,Q3-Q2_2025,Q3-Q2_change,Q3-Q2_se,Q4-Q2_2022,Q4-Q2_2025,Q4-Q2_change,Q4-Q2_se,Q4-Q3_2022,Q4-Q3_2025,Q4-Q3_change,Q4-Q3_se
LATAM7,homepos,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,354.5952478923259,357.4421360386354,2.8468881463094817,1.88126660096627,379.7625148235201,375.270327657274,-4.49218716624614,1.984630346973394,402.2701171278648,394.89363127528674,-7.376485852578071,2.1468762438643862,434.3318537997038,421.19273162161534,-13.139122178088485,2.4737226843634335,25.167266931194206,17.828191618638584,-7.339075312555622,1.6707281586855,47.67486923553889,37.45149523665134,-10.223373998887553,1.9787784401588804,79.7366059073779,63.75059558297994,-15.986010324397967,2.4668904281794304,22.507602304344687,19.623303618012756,-2.884298686331931,1.7439668209311223,54.5693389761837,45.922403964341356,-8.646935011842345,2.2794753830877426,32.061736671839014,26.2991003463286,-5.762636325510414,2.141693793021969
ARG,homepos_h,1,ARG,both cycles,346.5416893846853,337.7242451730623,-8.817444211623013,4.302085187270113,369.40294579597946,356.39222417089957,-13.010721625079896,4.585387701788494,391.5796273214638,379.6912285953663,-11.888398726097535,4.983467443596063,412.7854870296302,412.33946346537016,-0.446023564260031,6.318077677099436,22.861256411294164,18.66797899783728,-4.193277413456883,4.483768786216227,45.03793793677852,41.966983422304,-3.070954514474522,5.562783598529638,66.24379764494489,74.61521829230787,8.371420647362982,7.138722808583052,22.176681525484355,23.299004424466716,1.122322898982361,5.003855773787971,43.38254123365073,55.94723929447059,12.564698060819865,6.307089387700516,21.205859708166372,32.648234870003876,11.442375161837504,5.6345426191328585
BRA,homepos_h,1,BRA,both cycles,346.1474257693575,341.93062968141146,-4.2167960879460225,2.7436518692173553,362.9189674667263,360.4558850530483,-2.4630824136780234,3.2005627662221197,390.271178785856,390.15349108456496,-0.11768770129106088,3.8545100744488723,427.4323553038109,426.8566921375067,-0.5756631663041958,4.996984288379043,16.771541697368832,18.52525537163683,1.753713674267999,3.1266354759904864,44.12375301649854,48.2228614031535,4.099108386654962,4.122327297994261,81.2849295344534,84.92606245609522,3.6411329216418267,5.318249596810432,27.352211319129708,29.69760603151667,2.3453947123869625,3.6388438028604835,64.51338783708457,66.40080708445839,1.8874192473738276,5.198229963440334,37.16117651795486,36.70320105294172,-0.4579754650131349,4.662280899576381
CHL,homepos_h,1,CHL,both cycles,382.1419965686742,375.8199928880359,-6.322003680638261,4.171376657150534,407.7015965928094,396.78502799782234,-10.91656859498704,5.1581836703090715,421.87167637686326,408.63818884602705,-13.233487530836214,4.531336850356932,443.14243919939565,438.3899786369666,-4.752460562429064,4.94064598446212,25.559600024135193,20.965035109786413,-4.59456491434878,5.533986823230359,39.729679808189076,32.81819595799112,-6.911483850197953,5.579394678098314,61.000442630721466,62.56998574893066,1.5695431182091966,5.977737799921606,14.170079784053883,11.853160848204709,-2.3169189358491735,5.318120180087623,35.44084260658627,41.60495063914425,6.1641080325579765,5.6691268429275965,21.27076282253239,29.75178979093954,8.48102696840715,5.767876189074895
COL,homepos_h,1,COL,both cycles,351.73789852914706,349.69931946392217,-2.0385790652248943,3.953636380470503,365.75426241963726,365.40895850075503,-0.3453039188822231,4.951899677512475,392.2427596194863,393.62223542137116,1.379475801884837,6.741977437956574,430.4581898246248,425.1388566493027,-5.319333175322129,7.0294014313589095,14.016363890490197,15.709639036832868,1.6932751463426712,4.748179641977935,40.50486109033926,43.92291595744899,3.4180548671097313,6.729893912436931,78.72029129547775,75.43953718538052,-3.2807541100972344,7.663415175250621,26.488497199849064,28.213276920616124,1.72477972076706,5.592516091033025,64.70392740498755,59.72989814854765,-4.974029256439906,7.249661893686593,38.21543020513849,31.516621227931523,-6.698808977206966,7.023171242498697
MEX,homepos_h,1,MEX,both cycles,367.9527623589291,361.457865250335,-6.4948971085941025,3.5579578411383155,386.74398280578464,381.66195142880053,-5.082031376984105,4.18841109039556,406.0032635615874,396.4765571382198,-9.526706423367614,4.381296862209821,423.29880820897296,413.79304592843266,-9.505762280540296,5.3503866548944155,18.79122044685556,20.20408617846556,1.4128657316099975,4.402642575264915,38.050501202658324,35.01869188788481,-3.0318093147735112,4.725825845913025,55.34604585004388,52.335180678097686,-3.010865171946193,6.0886190079012605,19.259280755802763,14.814605709419254,-4.444675046383509,4.22056101458363,36.55482540318832,32.13109449963213,-4.423730903556191,5.669043519708357,17.295544647385555,17.316488790212873,0.020944142827318046,4.941620628306097
PER,homepos_h,1,PER,both cycles,357.87177405810274,350.80886198418705,-7.062912073915697,4.189721126508283,376.9591712213834,368.81825666513487,-8.140914556248504,4.602739768694367,403.9984820689286,395.59310706291836,-8.405375006010217,5.474140537398906,433.209517490334,420.3029897259768,-12.906527764357236,5.53292863752937,19.087397163280627,18.00939468094782,-1.0780024823328063,4.563747441978823,46.12670801082584,44.78424507873132,-1.34246293209452,5.521210068798308,75.33774343223126,69.49412774178973,-5.843615690441538,5.995287787328702,27.03931084754521,26.774850397783496,-0.2644604497617138,5.420576132655621,56.250346268950636,51.484733060841904,-4.765613208108732,6.501942810110915,29.211035421405427,24.70988266305841,-4.501152758347018,6.228016096929748
URY,homepos_h,1,URY,both cycles,368.52587921543073,372.9703115004137,4.444432284982952,4.3186802864890845,400.5652257992666,394.60985755597596,-5.95536824329065,4.213400507779218,422.5429592672805,416.9273892846069,-5.615569982673605,4.526279529867828,452.6744848240768,444.0281305243872,-8.646354299689563,4.984020188565814,32.03934658383588,21.639546055562278,-10.399800528273602,4.892173963659461,54.017080051849746,43.95707778419319,-10.060002267656557,5.61766499670243,84.14860560864605,71.05781902397354,-13.090786584672514,5.9961313091271204,21.977733468013867,22.31753172863091,0.33979826061704443,5.268069737144974,52.10925902481017,49.41827296841126,-2.6909860563989128,5.817412843413955,30.131525556796305,27.100741239780348,-3.030784317015957,5.389831314486804
LATAM7,homepos_h,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,360.1313465549038,355.7730322773382,-4.358314277565626,1.8650590236155846,381.435164585941,374.8760230532052,-6.559141532735794,2.0273190111143378,404.07284957163796,397.3003139190106,-6.772535652627369,2.203158457719522,431.85732598297784,425.8355938668489,-6.021732116128931,2.4129904329421126,21.303818031037167,19.102990775867,-2.200827255170168,1.7331972958489128,43.941503016734146,41.5272816416724,-2.414221375061743,2.063950102858453,71.72597942807403,70.06256158951072,-1.663417838563305,2.401847805749476,22.63768498569698,22.424290865805403,-0.21339411989157497,1.8778338310130898,50.42216139703686,50.95957081364372,0.537409416606863,2.3024085656522115,27.78447641133988,28.53527994783832,0.750803536498438,2.158686034036541
ARG,hisei_h,1,ARG,both cycles,350.72095221621385,348.8078677206957,-1.9130844955181487,4.313488562430646,369.8377695436001,371.4407419063969,1.6029723627968337,5.03771296397296,394.3551073793681,384.59415154139805,-9.760955837970073,5.125926038004681,414.3014339938836,423.53766521007947,9.236231216195847,6.67579211764043,19.11681732738623,22.632874185701212,3.5160568583149825,5.251562399723141,43.634155163154276,35.78628382070235,-7.847871342451924,5.422712380098118,63.580481777669775,74.72979748938377,11.149315711713996,7.2195598977778515,24.517337835768046,13.15340963500114,-11.363928200766907,5.370337642859737,44.463664450283545,52.09692330368256,7.633258853399013,6.730596612166614,19.9463266145155,38.94351366868142,18.99718705416592,6.013541392822208
