cnt,index,n_systems,countries,status,wave,group,estimate,se,ci_low,ci_high
MEX,escs_cc,1,MEX,both cycles,2022,Q3,399.8120757530131,3.8787079822063197,392.2098081078887,407.41434339813753
MEX,escs_cc,1,MEX,both cycles,2025,Q3,398.3418862514581,2.7622227352467053,392.9279296903746,403.75584281254163
MEX,escs_cc,1,MEX,both cycles,2022,Q4,430.398648397329,4.003259276857505,422.5522602146883,438.2450365799697
MEX,escs_cc,1,MEX,both cycles,2025,Q4,423.6802084251308,3.5931595885071554,416.6376156316568,430.7228012186048
MEX,escs_cc,1,MEX,both cycles,2022,Q2-Q1,15.83995489210929,2.639357344159105,10.666814497557443,21.013095286661137
MEX,escs_cc,1,MEX,both cycles,2025,Q2-Q1,16.482380099725617,2.871838834013263,10.853575985059623,22.111184214391614
MEX,escs_cc,1,MEX,both cycles,2022,Q3-Q1,28.027745143352604,4.011182318701323,20.16582779869801,35.8896624880072
MEX,escs_cc,1,MEX,both cycles,2025,Q3-Q1,29.89718848259355,3.06260739580359,23.89447798681851,35.89989897836858
MEX,escs_cc,1,MEX,both cycles,2022,Q4-Q1,58.61431778766848,4.4442620328205535,49.903564203340196,67.32507137199677
MEX,escs_cc,1,MEX,both cycles,2025,Q4-Q1,55.23551065626623,3.894154306498397,47.60296821552937,62.868053097003084
MEX,escs_cc,1,MEX,both cycles,2022,Q3-Q2,12.187790251243314,3.7216467796310035,4.893362563166547,19.48221793932008
MEX,escs_cc,1,MEX,both cycles,2025,Q3-Q2,13.414808382867932,2.691300063237003,8.139860258923406,18.689756506812458
MEX,escs_cc,1,MEX,both cycles,2022,Q4-Q2,42.77436289555919,4.099458503985761,34.7394242277471,50.809301563371285
MEX,escs_cc,1,MEX,both cycles,2025,Q4-Q2,38.75313055654061,3.9166063448069557,31.076582120718978,46.42967899236224
MEX,escs_cc,1,MEX,both cycles,2022,Q4-Q3,30.58657264431588,4.225945541316104,22.303719383336315,38.869425905295444
MEX,escs_cc,1,MEX,both cycles,2025,Q4-Q3,25.33832217367268,3.576956478979719,18.32748747487243,32.34915687247293
PER,escs_cc,1,PER,both cycles,2022,Q1,351.6241140011058,2.4141000685741383,346.89247786670046,356.35575013551113
PER,escs_cc,1,PER,both cycles,2025,Q1,353.52022211988907,3.3093463320252057,347.0339033091197,360.00654093065845
PER,escs_cc,1,PER,both cycles,2022,Q2,380.4232854775425,3.1545918110166835,374.24028552794977,386.6062854271352
