cnt,index,wave,group,statistic,computed,official,difference,source_table
COL,escs,2025,Q1,se,2.270966072340499,2.25713,0.013836072340498884,Table I.B1.2b.24
COL,escs,change,Q1,estimate,-1.1888728002571156,-1.1872600000000002,-0.0016128002571154099,Table I.B1.2b.24
COL,escs,change,Q1,se,4.18235015158451,4.1673,0.015050151584509841,Table I.B1.2b.24
COL,escs,2022,Q2,estimate,369.6691864423028,369.65547000000004,0.013716442302779797,Table I.B1.2b.24
COL,escs,2022,Q2,se,3.1803545580239327,3.1771800000000003,0.0031745580239324056,Table I.B1.2b.24
COL,escs,2025,Q2,estimate,373.1685363601852,373.14910000000003,0.01943636018518191,Table I.B1.2b.24
COL,escs,2025,Q2,se,2.6600962230464593,2.6552900000000004,0.004806223046458946,Table I.B1.2b.24
COL,escs,change,Q2,estimate,3.499349917882398,3.4936300000000005,0.005719917882397674,Table I.B1.2b.24
COL,escs,change,Q2,se,4.321940192854321,4.3166400000000005,0.0053001928543201515,Table I.B1.2b.24
COL,escs,2022,Q3,estimate,384.2044345673045,384.19426000000004,0.010174567304432003,Table I.B1.2b.24
COL,escs,2022,Q3,se,4.205956088188024,4.20465,0.0013060881880235797,Table I.B1.2b.24
COL,escs,2025,Q3,estimate,388.05745567716866,388.03265000000005,0.024805677168615148,Table I.B1.2b.24
COL,escs,2025,Q3,se,4.182040979121831,4.155690000000001,0.026350979121830598,Table I.B1.2b.24
COL,escs,change,Q3,estimate,3.853021109864187,3.8383800000000003,0.014641109864186763,Table I.B1.2b.24
COL,escs,change,Q3,se,6.055405301614433,6.036320000000001,0.01908530161443256,Table I.B1.2b.24
COL,escs,2022,Q4,estimate,430.21297769345813,430.19660000000005,0.016377693458082376,Table I.B1.2b.24
COL,escs,2022,Q4,se,5.880715096952235,5.8799,0.0008150969522349172,Table I.B1.2b.24
COL,escs,2025,Q4,estimate,428.55562757004145,428.54906000000005,0.00656757004139763,Table I.B1.2b.24
COL,escs,2025,Q4,se,6.233053842600596,6.23158,0.0014738426005962424,Table I.B1.2b.24
COL,escs,change,Q4,estimate,-1.657350123416677,-1.6475400000000002,-0.009810123416676753,Table I.B1.2b.24
COL,escs,change,Q4,se,8.655759369129896,8.654150000000001,0.0016093691298948443,Table I.B1.2b.24
COL,escs,2022,Q4-Q1,estimate,78.55521433698112,78.53491000000001,0.02030433698111267,Table I.B1.2b.24
COL,escs,2022,Q4-Q1,se,6.4613461633165326,6.464390000000001,-0.003043836683468193,Table I.B1.2b.24
COL,escs,2025,Q4-Q1,estimate,78.08673701382156,78.07463000000001,0.012107013821548662,Table I.B1.2b.24
COL,escs,2025,Q4-Q1,se,6.6183239249922545,6.61659,0.00173392499225411,Table I.B1.2b.24
COL,escs,change,Q4-Q1,estimate,-0.46847732315956137,-0.46028,-0.008197323159561343,Table I.B1.2b.24
COL,escs,change,Q4-Q1,se,9.249389483545936,9.25028,-0.0008905164540635724,Table I.B1.2b.24
MEX,escs,2022,Q1,estimate,369.1964651437033,369.19647000000003,-4.856296754951472e-06,Table I.B1.2b.24
MEX,escs,2022,Q1,se,2.4169888643176534,2.42185,-0.004861135682346696,Table I.B1.2b.24
MEX,escs,2025,Q1,estimate,362.65924264442464,362.59583000000003,0.06341264442460215,Table I.B1.2b.24
MEX,escs,2025,Q1,se,2.2550906371235944,2.309,-0.0539093628764058,Table I.B1.2b.24
MEX,escs,change,Q1,estimate,-6.537222499278641,-6.60064,0.06341750072135888,Table I.B1.2b.24
MEX,escs,change,Q1,se,3.5235875115963897,3.56163,-0.03804248840361035,Table I.B1.2b.24
MEX,escs,2022,Q2,estimate,385.84056690470385,385.84057,-3.0952961651564692e-06,Table I.B1.2b.24
MEX,escs,2022,Q2,se,2.5140659335587126,2.5035200000000004,0.01054593355871214,Table I.B1.2b.24
MEX,escs,2025,Q2,estimate,381.73170253905545,381.65265000000005,0.07905253905539666,Table I.B1.2b.24
MEX,escs,2025,Q2,se,2.011293324335213,1.96402,0.04727332433521303,Table I.B1.2b.24
MEX,escs,change,Q2,estimate,-4.108864365648401,-4.18792,0.07905563435159912,Table I.B1.2b.24
MEX,escs,change,Q2,se,3.442997001856934,3.40784,0.0351570018569336,Table I.B1.2b.24
MEX,escs,2022,Q3,estimate,397.7417315451392,397.74173,1.5451391845999751e-06,Table I.B1.2b.24
MEX,escs,2022,Q3,se,3.866073332475499,3.8711500000000005,-0.0050766675245017545,Table I.B1.2b.24
MEX,escs,2025,Q3,estimate,392.3017928341875,392.39193000000006,-0.09013716581256404,Table I.B1.2b.24
MEX,escs,2025,Q3,se,2.9441704694334048,2.97603,-0.031859530566595406,Table I.B1.2b.24
MEX,escs,change,Q3,estimate,-5.439938710951708,-5.3498,-0.09013871095170778,Table I.B1.2b.24
MEX,escs,change,Q3,se,5.0102956764208955,5.03298,-0.02268432357910477,Table I.B1.2b.24
MEX,escs,2022,Q4,estimate,427.6472404806056,427.64724,4.806055926565023e-07,Table I.B1.2b.24
MEX,escs,2022,Q4,se,4.164314079640668,4.16573,-0.0014159203593315794,Table I.B1.2b.24
MEX,escs,2025,Q4,estimate,419.82681578657264,419.83408000000003,-0.007264213427390587,Table I.B1.2b.24
MEX,escs,2025,Q4,se,3.6672168699218264,3.6380500000000002,0.029166869921826155,Table I.B1.2b.24
MEX,escs,change,Q4,estimate,-7.820424694032965,-7.813160000000001,-0.0072646940329645915,Table I.B1.2b.24
MEX,escs,change,Q4,se,5.681407512662046,5.663670000000001,0.017737512662045596,Table I.B1.2b.24
MEX,escs,2022,Q4-Q1,estimate,58.450775336902325,58.45078,-4.663097676882444e-06,Table I.B1.2b.24
MEX,escs,2022,Q4-Q1,se,4.567857001541482,4.55689,0.010967001541481558,Table I.B1.2b.24
MEX,escs,2025,Q4-Q1,estimate,57.167573142148,57.23825000000001,-0.07067685785200695,Table I.B1.2b.24
MEX,escs,2025,Q4-Q1,se,3.813030344145952,3.8447600000000004,-0.0317296558540483,Table I.B1.2b.24
MEX,escs,change,Q4-Q1,estimate,-1.283202194754324,-1.21252,-0.07068219475432391,Table I.B1.2b.24
MEX,escs,change,Q4-Q1,se,5.950169576735552,5.962160000000001,-0.011990423264449213,Table I.B1.2b.24
PER,escs,2022,Q1,estimate,350.70324501936733,350.69912000000005,0.004125019367279492,Table I.B1.2b.24
PER,escs,2022,Q1,se,2.4198618965297696,2.4241400000000004,-0.004278103470230832,Table I.B1.2b.24
PER,escs,2025,Q1,estimate,350.42002612919975,350.42003000000005,-3.870800298955146e-06,Table I.B1.2b.24
PER,escs,2025,Q1,se,2.597258986772574,2.5979900000000002,-0.0007310132274263026,Table I.B1.2b.24
PER,escs,change,Q1,estimate,-0.28321889016757495,-0.27909,-0.00412889016757495,Table I.B1.2b.24
PER,escs,change,Q1,se,3.7536496696745094,3.7569100000000004,-0.003260330325491001,Table I.B1.2b.24
PER,escs,2022,Q2,estimate,378.63468386522163,378.56545000000006,0.06923386522157671,Table I.B1.2b.24
PER,escs,2022,Q2,se,2.9969191204861323,2.9952400000000003,0.0016791204861319464,Table I.B1.2b.24
PER,escs,2025,Q2,estimate,372.39780324849994,372.35572,0.042083248499920956,Table I.B1.2b.24
PER,escs,2025,Q2,se,3.663466537828447,3.6659200000000003,-0.002453462171553511,Table I.B1.2b.24
PER,escs,change,Q2,estimate,-6.236880616721692,-6.20973,-0.02715061672169128,Table I.B1.2b.24
PER,escs,change,Q2,se,4.8878329849253355,4.88865,-0.0008170150746646954,Table I.B1.2b.24
PER,escs,2022,Q3,estimate,400.2165732922587,400.26409,-0.047516707741294795,Table I.B1.2b.24
PER,escs,2022,Q3,se,3.735228575013862,3.7245800000000004,0.010648575013861628,Table I.B1.2b.24
PER,escs,2025,Q3,estimate,392.37846779751794,392.39984000000004,-0.021372202482098146,Table I.B1.2b.24
PER,escs,2025,Q3,se,3.1950984415530774,3.17538,0.019718441553077337,Table I.B1.2b.24
PER,escs,change,Q3,estimate,-7.838105494740773,-7.864250000000001,0.026144505259227735,Table I.B1.2b.24
PER,escs,change,Q3,se,5.064482852060513,5.04419,0.020292852060512345,Table I.B1.2b.24
PER,escs,2022,Q4,estimate,436.69382801242864,436.69383000000005,-1.987571408790245e-06,Table I.B1.2b.24
